Date,Domain,SSP_Dash,SSP_Impressions,SSP,SSP Dash,SSP Impr
2025-05-17,hormel.com,0.01,28.0,PubMatic,,
2025-05-17,esbnyc.com,0.0,1.0,PubMatic,,
2025-05-17,ulta.com,4.45,2157.0,PubMatic,,
2025-05-17,couples.com,0.05,53.0,PubMatic,,
2025-05-17,wizards.com,1.24,455.0,PubMatic,,
2025-05-17,cumberlandfarms.com,0.01,17.0,PubMatic,,
2025-05-17,schwab.com,0.94,649.0,PubMatic,,
2025-05-17,groupon.com,0.0,2.0,PubMatic,,
2025-05-17,mycertifiedservice.com,0.01,3.0,PubMatic,,
2025-05-17,shrm.org,0.0,0.0,PubMatic,,
2025-05-17,azoproducts.com,0.0,3.0,PubMatic,,
2025-05-17,canadiantire.ca,0.08,48.0,PubMatic,,
2025-05-17,energizer.ca,0.0,0.0,PubMatic,,
2025-05-17,name.com,0.0,1.0,PubMatic,,
2025-05-17,hp.com,0.0,0.0,PubMatic,,
2025-05-17,lumberliquidators.com,0.05,41.0,PubMatic,,
2025-05-17,kwikset.com,0.99,2269.0,PubMatic,,
2025-05-17,chattanoogacollege.edu,0.0,3.0,PubMatic,,
2025-05-17,legalandgeneral.com,0.03,84.0,PubMatic,,
2025-05-17,nissanusa.com,0.8,367.0,PubMatic,,
2025-05-17,potterybarn.com,0.0,0.0,PubMatic,,
2025-05-17,adameve.com,0.0,0.0,PubMatic,,
2025-05-17,nioxin.com,0.17,190.0,PubMatic,,
2025-05-17,saucony.com,0.11,92.0,PubMatic,,
2025-05-17,hotels.com,0.04,97.0,PubMatic,,
2025-05-17,furniturevillage.co.uk,0.0,0.0,PubMatic,,
2025-05-17,generalmills.com,0.02,18.0,PubMatic,,
2025-05-17,howdyhonda.com,0.74,79.0,PubMatic,,
2025-05-17,canon.com,0.03,30.0,PubMatic,,
2025-05-17,murraylampert.com,0.0,2.0,PubMatic,,
2025-05-17,kimberly-clark.com,0.0,4.0,PubMatic,,
2025-05-17,softsurroundings.com,0.07,29.0,PubMatic,,
2025-05-17,kelloggs.com,0.08,30.0,PubMatic,,
2025-05-17,livenation.com,0.05,23.0,PubMatic,,
2025-05-17,loreal.com,0.1,210.0,PubMatic,,
